companhia;opex;remuneracaoEmAcoes;despesasAdministrativas;exercicioOpcoes;compraTitulos;jurosAPagar;valorGastoExercicioOpcoes;amortizacao;rendaOperacoesContinuadas;lucroBruto;receitas;ativos;passivos;depreciacao;ganhosPorAcao;ebtida;temDivida
1750.0;;;;;;;6700000.0;;40500000.0;236900000.0;;1442100000.0;;;1.37;;0.0
1800.0;;;;314000000.0;;;;;;;;41247000000.0;;871000000.0;2.94;;1.0
2034.0;;;;729000.0;;;729000.0;30977000.0;;142785000.0;;540778000.0;236336000.0;1522000.0;1.19;;1.0
2098.0;;;;;;;1248782.0;;;39561218.0;109812000.0;81421366.0;38237805.0;1318357.0;1.44;;0.0
2178.0;;;9939000.0;;;;;;-1275000.0;;1944279000.0;243215000.0;90705000.0;;;;0.0
2186.0;;0.0;;;3402000.0;;92000.0;;;;;39449000.0;4629000.0;;0.08;;0.0
2488.0;;;;;;;;;;1080000000.0;;3109000000.0;;94000000.0;-0.84;;0.0
2969.0;;;;121300000.0;;52900000.0;;291600000.0;1277900000.0;2950800000.0;;17438100000.0;10057000000.0;900400000.0;5.95;;1.0
3116.0;301401000.0;;;;5900000.0;;10503000.0;;150798000.0;596012000.0;;2112710000.0;1491145000.0;19900000.0;1.29;;0.0
3146.0;;0.0;;;;14300000.0;;;;;1976400000.0;5290200000.0;;;3.16;;1.0
3153.0;;;;;;249000000.0;;;;;17489000000.0;78318000000.0;56175000000.0;;2.6;;0.0
3197.0;;0.024;;;;185000.0;205000.0;;;109171000.0;;598819000.0;353798000.0;4200000.0;-0.19;;1.0
3453.0;;;;;;3900000.0;;103100000.0;103000000.0;;;1669800000.0;;76400000.0;2.37;;1.0
3499.0;112710000.0;;5406000.0;;43191000.0;;;;76907000.0;;;1447808000.0;1094928000.0;;;;0.0
3545.0;;;16894000.0;;;1155000.0;;;;35953000.0;153119000.0;460580000.0;282981000.0;;1.96;;1.0
3570.0;720198000.0;;423862000.0;;;159968000.0;2279000.0;;;;270885000.0;19019589000.0;;82680000.0;;;1.0
4127.0;531400000.0;;;57000000.0;;;;0.0;;1554500000.0;;3719400000.0;560200000.0;162300000.0;4.21;;0.0
4187.0;;;;;;;;;-9085000.0;;;19434000.0;;2400000.0;-1.14;;1.0
4281.0;;0.008;;25000000.0;;;;;;;;36528000000.0;22397000000.0;;-0.31;;1.0
4447.0;;;557000000.0;;;;;;-3008000000.0;;6561000000.0;34195000000.0;13794000000.0;;-10.78;;1.0
4457.0;1470047000.0;;;;1466941000.0;;;;;;3275656000.0;8150725000.0;5899319000.0;389393000.0;;;0.0
4515.0;;;;;;;;218000000.0;;;;48415000000.0;;;11.39;;0.0
4904.0;13119700000.0;;;;;226900000.0;;;1763400000.0;;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17;;1.0
4962.0;;;;;3759000000.0;;;;5163000000.0;;;161184000000.0;140511000000.0;;;;1.0
4969.0;;;;;;;;;;;755000000.0;33285000000.0;31166000000.0;;;;1.0
4977.0;;0.027000000000000003;;;67794000000.0;;;;;;20872000000.0;118296000000.0;100588000000.0;;5.88;;0.0
5133.0;;;252983000.0;;;;;;;;1900790000.0;1603449000.0;;50303000.0;;;1.0
5272.0;;;;;251160000000.0;;;;2196000000.0;;58327000000.0;496943000000.0;406733000000.0;;1.69;;1.0
5513.0;;;;;43354400000.0;;;;;;10731300000.0;60589700000.0;51925800000.0;;3.51;;1.0
5768.0;51560000.0;;;;;;;;;46230000.0;;171229000.0;40106000.0;;-0.45;;0.0
5981.0;100378000.0;;28516000.0;;;;;88820000.0;;111902000.0;;443539000.0;175213000.0;8953000.0;0.23;;1.0
6176.0;233433000.0;;;;;;;;;;;506156000.0;294733000.0;11787000.0;0.13;;0.0
6201.0;;;;;;;;218000000.0;;;;48415000000.0;;;11.39;;0.0
6207.0;;;;;;;;;-10224000.0;;41664000.0;120628000.0;37784000.0;1561000.0;;;0.0
6281.0;1428421000.0;0.027999999999999997;;122600000.0;;;;;;2259262000.0;;7062178000.0;;130147000.0;;;0.0
6284.0;188888000.0;;57291000.0;;;;7274000.0;10900000.0;;229487000.0;540291000.0;627970000.0;;;2.7;;0.0
6494.0;;0.0;;34750.0;;;34750.0;;2467694.0;13117847.0;13234882.0;8710602.0;6168803.0;;0.05;;0.0
6732.0;;;;;;;;;;213430.0;684274.0;140510.0;3825276.0;559.0;;;0.0
6769.0;;;377000000.0;;;144000000.0;;;-22348000000.0;;;18842000000.0;;;-61.2;;0.0
6845.0;;;;;30173000.0;;;;;243570000.0;79517000.0;657440000.0;;29800000.0;2.25;;1.0
6879.0;13119700000.0;;;;;226900000.0;;;1763400000.0;;16453200000.0;61683100000.0;43778200000.0;1674300000.0;4.17;;1.0
6885.0;;;;;;;;;3780000.0;396431000.0;;848099000.0;418346000.0;66998000.0;0.12;;1.0
6951.0;2259000000.0;;455000000.0;3000000.0;1114000000.0;36000000.0;;94000000.0;;3952000000.0;;15308000000.0;7695000000.0;185000000.0;1.13;;1.0
6955.0;;0.002;;1147000.0;;;1147000.0;84700000.0;19872000.0;461841000.0;;1636917000.0;963916000.0;;0.32;;1.0
7039.0;;;23328000.0;;;;1274000.0;;;59369000.0;;258811000.0;116426000.0;7177000.0;0.76;;1.0
7084.0;;0.02;;;877000000.0;;;;;4020000000.0;67702000000.0;40157000000.0;;799000000.0;2.99;;1.0
7286.0;;;;;;56305000.0;;;;;;15028258000.0;;;3.94;;0.0
7323.0;11966453000.0;;;;5350000000.0;194565000.0;;;;;;44647681000.0;;;-0.99;;1.0
7431.0;;;;6400000.0;;;;;;602800000.0;;2691900000.0;;;1.69;;0.0
7536.0;;;;14900000.0;;;;;;;;13021930000.0;;;5.26;;0.0
7623.0;7387345.0;0.016;4736866.0;0.0;;;;;;6983682.0;;31331608.0;12811742.0;929180.0;-0.14;;1.0
7789.0;;0.02;;;4967414000.0;;;;;;1004687000.0;27715021000.0;24777775000.0;33000000.0;1.2;;1.0
8063.0;;0.0;;2996000.0;;;;;;187942000.0;;609243000.0;309018000.0;13300000.0;2.63;;0.0
8146.0;32224000.0;0.02;7030000.0;;;;436000.0;;;38158000.0;;77963000.0;10590000.0;1567000.0;0.62;;0.0
8177.0;;;;;;;;;;;165937000.0;314603000.0;212111000.0;;;;0.0
8192.0;4350000000.0;;;;;49000000.0;;;318000000.0;;5023000000.0;16326000000.0;;;1.29;;0.0
8328.0;10424282.0;;4857015.0;;;;;;;;507474.0;8339362.0;24079012.0;1312585.0;;;0.0
8504.0;;;636459.0;;;;;;;;;21834401.0;24367974.0;;;;0.0
8670.0;;0.026000000000000002;;;21605000000.0;;;47900000.0;;;11667800000.0;43670000000.0;39188400000.0;;3.27;;0.0
8818.0;;;;104000000.0;;;;;274400000.0;1645800000.0;;4133700000.0;;125200000.0;3.01;;0.0
8868.0;;;;;;;;;-799800000.0;3715100000.0;6160500000.0;3879500000.0;4935900000.0;94000000.0;-2.6;;0.0
8947.0;;;;;;2356344.0;;72011000.0;;230111000.0;;983371000.0;502155000.0;31200000.0;2.98;;1.0
9092.0;;;;1641000.0;;;1641000.0;27700000.0;;135776000.0;;355480000.0;;9993000.0;;;0.0
9326.0;74141000.0;;21896000.0;12605000.0;;;;;;168097000.0;552492000.0;881223000.0;417518000.0;12895000.0;1.92;;1.0
9346.0;26621000.0;;;;;;;;;;280275000.0;1085771000.0;691273000.0;;;;0.0
9389.0;;;;;;;;40100000.0;280900000.0;1295000000.0;;9777000000.0;8515700000.0;247300000.0;2.05;;1.0
9466.0;25056000000.0;;;0.0;;915000000.0;;;;;29447000000.0;95384000000.0;68062000000.0;2227000000.0;;;1.0
9892.0;;;;;;;;;;;;4942900000.0;;62300000.0;1.8;;1.0
9984.0;;0.021;;;;;;;121380000.0;;;2061866000.0;;39654000.0;2.21;;0.0
10048.0;;;8551000.0;;;;;;;;17533000.0;41553000.0;22291000.0;;0.15;;1.0
10254.0;;;10300000.0;;;;;;;;49390000.0;264944000.0;65071000.0;;-8.43;;0.0
10329.0;;;;4031000.0;;;;;;;;282543000.0;;;1.91;;1.0
10456.0;;;;;;;;;393000000.0;4146000000.0;;20975000000.0;;;1.78;;0.0
10795.0;;;;75000000.0;;;;;695000000.0;4695000000.0;;26820000000.0;;417000000.0;3.43;;0.0
11199.0;;;;;;;;;241900000.0;873400000.0;4071400000.0;3489800000.0;2282400000.0;144200000.0;2.47;;1.0
11544.0;;;;0.0;;;;;;;7206457000.0;21730967000.0;17097759000.0;45000000.0;4.06;;0.0
12040.0;;;;;;;;;;;;54622000.0;;;;;1.0
12208.0;;;;;;;;53900000.0;;1121670000.0;;3711542000.0;1221039000.0;;3.87;;0.0
12239.0;52043000.0;;;;;;;147000.0;;;33000.0;13694000.0;4944000.0;1000.0;;;0.0
12400.0;189950000.0;;;;;4600000.0;;;;;;1119493000.0;;;;;1.0
12659.0;;;135178000.0;25775000.0;1133000.0;;18102000.0;;;;3038153000.0;2857775000.0;2834672000.0;115907000.0;1.5;;1.0
12927.0;;;3525000000.0;399000000.0;244000000.0;;399000000.0;;5176000000.0;14026000000.0;96114000000.0;94408000000.0;;;7.52;;0.0
13156.0;;;;;;14832.0;;;;;;17971048.0;15520839.0;178850.0;;;0.0
13239.0;;;;;;82000000.0;;;;600000000.0;4140000000.0;2382000000.0;4859000000.0;124000000.0;;;0.0
13372.0;6190663000.0;;;;;;;;;;7954827000.0;30580309000.0;;665856000.0;2.77;;0.0
13573.0;21214632.0;;909579.0;;;;;;1640229.0;;23124541.0;32062409.0;5088330.0;1254541.0;;;0.0
14177.0;;;;;;;;;;46869000.0;130448000.0;75302000.0;39657000.0;3050000.0;1.7;;0.0
14195.0;;;;5126000.0;;;;;;359099000.0;494468000.0;1458962000.0;;48500000.0;1.0;;0.0
14272.0;;;;;6502000000.0;;;;;12651000000.0;;31748000000.0;17324000000.0;500000000.0;0.94;;0.0
14693.0;;0.016;;;;;;;;2144000000.0;;4183000000.0;2621000000.0;;5.26;;1.0
14707.0;;;;;;;;;;1047803000.0;100186000.0;1303323000.0;;35428000.0;1.86;;0.0
14846.0;99107000.0;;6683000.0;;;;;;-2388000.0;;82497000.0;835879000.0;675705000.0;;-0.17;;1.0
14930.0;;;;;11500000.0;8400000.0;;;227400000.0;1114600000.0;;3152500000.0;;;2.6;;1.0
15511.0;13634000000.0;;;;;;;;;;;79892000000.0;26563000000.0;;;;1.0
15615.0;;;265910000.0;;;;544000.0;25500000.0;-79110000.0;;4208330000.0;2940197000.0;1996806000.0;;-0.98;;0.0
15847.0;;;;;;;;;;;;42697000.0;16599000.0;;0.0;;0.0
16040.0;;;;;;;;;;585000000.0;2871000000.0;3075000000.0;;169000000.0;-5.27;;1.0
16058.0;;;;;;;;116212000.0;;;3744053000.0;3987341000.0;2380028000.0;23600000.0;5.89;;1.0
16099.0;;0.0;;190000.0;;;;;-1372000.0;;;264258000.0;89599000.0;500000.0;-0.07;;0.0
16160.0;;;;;;;;;;648074000.0;;1111765000.0;194404000.0;41400000.0;6.56;;1.0
16732.0;;;593000000.0;9000000.0;;35000000.0;;;;;;8089000000.0;6713000000.0;286000000.0;2.21;;1.0
16918.0;;;;;;64100000.0;;32700000.0;;2942300000.0;;16965000000.0;10273200000.0;180300000.0;;;1.0
17485.0;38124000.0;;5977000.0;656000.0;;;;;;50071000.0;;62572000.0;28867000.0;;0.14;;0.0
17797.0;;;;;6214000000.0;430000000.0;;;2796000000.0;;;121156000000.0;;;4.05;;1.0
17843.0;;;;500000.0;;11200000.0;500000.0;;;255900000.0;;2794300000.0;1689400000.0;106500000.0;0.23;;1.0
18172.0;;;;0.0;;;;;;;;497653000.0;;14207000.0;-8.91;;1.0
18230.0;43755000000.0;0.023;;;1635000000.0;;;1191000000.0;;;47011000000.0;78497000000.0;63612000000.0;2705000000.0;3.54;;0.0
18255.0;;;;0.0;;;;;;;1011091000.0;642344000.0;;;2.39;;0.0
18349.0;;;;5643000.0;3587818000.0;;5643000.0;;;;;28792653000.0;25792457000.0;;1.63;;1.0
18396.0;187433000.0;;;;;;;;;184901000.0;985494000.0;339097000.0;117854000.0;;-1.88;;0.0
18498.0;;;;1442000.0;;;1308000.0;;95381000.0;1443466000.0;;1541483000.0;584700000.0;76200000.0;4.13;;1.0
18654.0;4839000000.0;;;;341000000.0;89000000.0;;;579000000.0;;6098000000.0;23640000000.0;;;2.6;;1.0
18672.0;922063000.0;;;;;7814000.0;;;;;;4323354000.0;2648513000.0;149579000.0;2.21;;0.0
18926.0;15295000000.0;;;;;250000000.0;;;;;17900000000.0;47604000000.0;;2836000000.0;1.58;;0.0
19149.0;;;;;;;;447355.0;-1191341.0;15182220.0;61285201.0;22926526.0;20912481.0;1654841.0;-0.11;;1.0
19411.0;;;;;326165000.0;;54090000.0;;;275651000.0;4597400000.0;2069060000.0;996940000.0;73400000.0;1.26;;0.0
19446.0;172706000.0;0.002;77897000.0;608000.0;;;608000.0;;;253467000.0;;584031000.0;;10692000.0;1.16;;0.0
19584.0;;0.006;;15424000.0;;;;59000.0;;;;852325000.0;339072000.0;32369000.0;6.54;;1.0
19612.0;;0.035;;;553731000.0;;2157000.0;;;;;9188797000.0;8172823000.0;;2.41;;0.0
19617.0;;;;;241754000000.0;;;;;;93543000000.0;2351698000000.0;2104125000000.0;;6.05;;0.0
19745.0;381486000.0;;;;;1311000.0;;;;;459244000.0;1068586000.0;;;2.73;;1.0
19871.0;;;;;;;;;;7895479.0;;30123137.0;3631721.0;1261446.0;;;0.0
20212.0;;;;;;;;;65197000.0;;0.0;2277444000.0;1660247000.0;53600000.0;3.75;;1.0
20286.0;;;;24000000.0;;;;;;;5142000000.0;18888000000.0;12461000000.0;36000000.0;3.87;;1.0
20290.0;;;;;6214000000.0;430000000.0;;;2796000000.0;;;121156000000.0;;;4.05;;1.0
20520.0;;;;;;;;;;;5576000000.0;27084000000.0;;983000000.0;-0.29;;0.0
20629.0;;;;770000.0;;;770000.0;;17236000.0;;;309926000.0;;5643000.0;1.88;;0.0
20639.0;;;;;;;;;;;;69634000.0;556000.0;48000.0;-0.11;;0.0
